question,type,database
Which movies from France have an IMDb rating higher than 8.0?,Simple Retrieval Queries,recommendations
What are the titles of the top 5 highest-grossing movies?,Simple Retrieval Queries,recommendations
List the first 3 movies directed by Harold Lloyd.,Simple Retrieval Queries,recommendations
"What genres are associated with the movie ""Toy Story""?",Simple Retrieval Queries,recommendations
What is the average IMDb rating of movies released in 1995?,Simple Retrieval Queries,recommendations
What is the average runtime of movies in the Adventure genre?,Simple Retrieval Queries,recommendations
Which actors have starred in movies with both Tom Hanks and Tim Allen?,Simple Retrieval Queries,recommendations
"What is the name of the user who gave the movie ""Toy Story"" the highest rating?",Simple Retrieval Queries,recommendations
"What is the average budget of movies directed by the director of ""Jumanji""?",Simple Retrieval Queries,recommendations
List the first 3 movies released in the year 2014 that have an IMDb rating above 6.5.,Simple Retrieval Queries,recommendations
"What is the name of the actor born in Minneapolis, Minnesota, USA, who starred in ""Two Night Stand""?",Simple Retrieval Queries,recommendations
Which directors have both acted in and directed the same movie?,Simple Retrieval Queries,recommendations
"What is the total revenue of movies that have the genre ""Adventure""?",Simple Retrieval Queries,recommendations
What is the average runtime of movies starring Analeigh Tipton?,Simple Retrieval Queries,recommendations
List the first 3 movies with the highest IMDb rating.,Simple Retrieval Queries,recommendations
Which actors have starred in movies with a runtime longer than 3 hours?,Simple Retrieval Queries,recommendations
What is the average budget of movies released in the year 2013?,Simple Retrieval Queries,recommendations
What are the titles of the top 5 movies with the highest IMDb votes?,Simple Retrieval Queries,recommendations
List the actors who have starred in more than one movie with a rating higher than 8.0.,Simple Retrieval Queries,recommendations
What is the name of the director who directed the movie with the highest revenue?,Simple Retrieval Queries,recommendations
"Which movies have a higher budget than ""Jumanji""?",Simple Retrieval Queries,recommendations
What is the average IMDb rating of movies starring actors born before 1950?,Simple Retrieval Queries,recommendations
List the first 3 genres of movies that have an average runtime greater than 120 minutes.,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating released after 2010?,Simple Retrieval Queries,recommendations
Which actors have acted in movies directed by Harold Lloyd?,Simple Retrieval Queries,recommendations
What is the average budget of movies that are both directed and acted in by the same person?,Simple Retrieval Queries,recommendations
List the first 3 movies released before 1960 with an IMDb rating higher than 8.5.,Simple Retrieval Queries,recommendations
"What is the name of the movie with the lowest IMDb rating that has the genre ""Comedy""?",Simple Retrieval Queries,recommendations
Which directors have directed movies in more than 3 genres?,Simple Retrieval Queries,recommendations
What is the average revenue of movies starring actors born in France?,Simple Retrieval Queries,recommendations
List the top 5 users who have rated the most movies.,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating that is shorter than 90 minutes?,Simple Retrieval Queries,recommendations
Which actors have starred in movies with a budget higher than $100 million and a revenue lower than $50 million?,Simple Retrieval Queries,recommendations
What is the average runtime of movies released in the last 10 years?,Simple Retrieval Queries,recommendations
List the first 3 movies that have won an Oscar for best picture.,Simple Retrieval Queries,recommendations
Which directors have directed movies based on books by Stephen King?,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating that has a female director?,Simple Retrieval Queries,recommendations
List the actors who have won an Oscar for their performance in a movie released after 2000.,Simple Retrieval Queries,recommendations
What is the average budget of animated movies?,Simple Retrieval Queries,recommendations
Which movies have been filmed in more than 5 countries?,Simple Retrieval Queries,recommendations
List the first 3 movies with the highest box office revenue of all time.,Simple Retrieval Queries,recommendations
What is the name of the director who has directed the most movies?,Simple Retrieval Queries,recommendations
Which actors have starred in movies with a historical setting?,Simple Retrieval Queries,recommendations
What is the average IMDb rating of movies based on true stories?,Simple Retrieval Queries,recommendations
List the first 3 movies that have a soundtrack composed by Hans Zimmer.,Simple Retrieval Queries,recommendations
Which directors have worked with the same actors in multiple movies?,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating that is in black and white?,Simple Retrieval Queries,recommendations
List the actors who have starred in both comedies and dramas.,Simple Retrieval Queries,recommendations
What is the average budget of science fiction movies?,Simple Retrieval Queries,recommendations
Which movies have been adapted into TV shows?,Simple Retrieval Queries,recommendations
List the first 3 movies with the most nominations for an Oscar.,Simple Retrieval Queries,recommendations
What is the name of the director who has won the most Oscars?,Simple Retrieval Queries,recommendations
Which actors have played the role of a superhero?,Simple Retrieval Queries,recommendations
What is the average IMDb rating of movies released during the summer blockbuster season?,Simple Retrieval Queries,recommendations
List the first 3 movies that have a sequel.,Simple Retrieval Queries,recommendations
Which directors have a distinctive visual style?,Simple Retrieval Queries,recommendations
What is the name of the movie with the highest IMDb rating that is in a foreign language?,Simple Retrieval Queries,recommendations
List the actors who have starred in movies with a strong female lead.,Simple Retrieval Queries,recommendations
What is the average budget of independent movies?,Simple Retrieval Queries,recommendations
Which movies have been controversial upon release?,Simple Retrieval Queries,recommendations
List the first 3 movies with the most memorable quotes.,Simple Retrieval Queries,recommendations
What is the name of the director who is known for their auteur filmmaking?,Simple Retrieval Queries,recommendations
Which actors have starred in movies that have won awards at film festivals?,Simple Retrieval Queries,recommendations
